DateTime,Value
2023-09-30T00:00:00,100.8
2023-10-31T00:00:00,100.6
2023-11-30T00:00:00,100.6
2023-12-31T00:00:00,100.6
2024-01-31T00:00:00,100.4
2024-02-29T00:00:00,101.2
2024-03-31T00:00:00,100.6
2024-04-30T00:00:00,100.7
2024-05-31T00:00:00,100.6
2024-06-30T00:00:00,100.6
2024-07-31T00:00:00,100.4
2024-08-31T00:00:00,100.3
2024-09-30T00:00:00,100.1
2024-10-31T00:00:00,100.2
2024-11-30T00:00:00,100.3
2024-12-31T00:00:00,100.4
2025-01-31T00:00:00,100.6
2025-02-28T00:00:00,99.9
2025-03-31T00:00:00,100.5
2025-04-30T00:00:00,100.5
2025-05-31T00:00:00,100.6
2025-06-30T00:00:00,100.7
2025-07-31T00:00:00,100.8
2025-08-31T00:00:00,100.9
2025-09-30T00:00:00,101
2025-10-31T00:00:00,101.2
