Month,Number
Jun-2009,601
Jul-2009,595
Aug-2009,616
Sep-2009,609
Oct-2009,583
Nov-2009,623
Dec-2009,664
Jan-2010,636
Feb-2010,650
Mar-2010,687
Apr-2010,637
May-2010,575
Jun-2010,587
Jul-2010,579
Aug-2010,580
Sep-2010,563
Oct-2010,558
Nov-2010,560
Dec-2010,632
Jan-2011,576
Feb-2011,542
Mar-2011,583
Apr-2011,581
May-2011,618
Jun-2011,636
Jul-2011,621
Aug-2011,647
Sep-2011,610
Oct-2011,671
Nov-2011,706
Dec-2011,697
Jan-2012,712
Feb-2012,738
Mar-2012,806
Apr-2012,732
May-2012,796
Jun-2012,794
Jul-2012,849
Aug-2012,840
Sep-2012,930
Oct-2012,887
Nov-2012,917
Dec-2012,941
Jan-2013,940
Feb-2013,980
Mar-2013,936
Apr-2013,"1,012"
May-2013,"1,003"
Jun-2013,942
Jul-2013,997
Aug-2013,964
Sep-2013,"1,004"
Oct-2013,"1,044"
Nov-2013,"1,029"
Dec-2013,"1,005"
Jan-2014,976
Feb-2014,"1,039"
Mar-2014,"1,067"
Apr-2014,"1,090"
May-2014,"1,018"
Jun-2014,"1,010"
Jul-2014,"1,076"
Aug-2014,"1,047"
Sep-2014,"1,077"
Oct-2014,"1,094"
Nov-2014,"1,059"
Dec-2014,"1,072"
Jan-2015,"1,049"
Feb-2015,"1,127"
Mar-2015,"1,072"
Apr-2015,"1,166"
May-2015,"1,272"
Jun-2015,"1,379"
Jul-2015,"1,140"
Aug-2015,"1,165"
Sep-2015,"1,144"
Oct-2015,"1,160"
Nov-2015,"1,244"
Dec-2015,"1,211"
Jan-2016,"1,171"
Feb-2016,"1,172"
Mar-2016,"1,118"
Apr-2016,"1,160"
May-2016,"1,205"
Jun-2016,"1,208"
Jul-2016,"1,198"
Aug-2016,"1,201"
Sep-2016,"1,303"
Oct-2016,"1,254"
Nov-2016,"1,230"
Dec-2016,"1,248"
Jan-2017,"1,303"
Feb-2017,"1,234"
Mar-2017,"1,272"
Apr-2017,"1,251"
May-2017,"1,208"
Jun-2017,"1,353"
Jul-2017,"1,256"
Aug-2017,"1,319"
Sep-2017,"1,273"
Oct-2017,"1,356"
Nov-2017,"1,299"
Dec-2017,"1,311"
Jan-2018,"1,317"
Feb-2018,"1,321"
Mar-2018,"1,385"
Apr-2018,"1,378"
