Periodicity,Year,Period,Estimate
"3-month percent change, current dollars",2011,September,0.2
Current dollar index number,2011,June,113.6
"3-month percent change, current dollars",2011,June,0.5
Current dollar index number,2011,March,113.0
"3-month percent change, current dollars",2011,March,0.2
Current dollar index number,2011,December,114.0
"3-month percent change, current dollars",2011,December,0.5
Current dollar index number,2011,September,113.4
"3-month percent change, current dollars",2011,September,0.1
Current dollar index number,2011,June,113.3
"3-month percent change, current dollars",2011,June,0.4
Current dollar index number,2011,March,112.9
"3-month percent change, current dollars",2011,March,0.3
Current dollar index number,2012,December,116.3
"3-month percent change, current dollars",2012,December,0.4
Current dollar index number,2012,September,115.8
"3-month percent change, current dollars",2012,September,0.4
Current dollar index number,2012,June,115.3
"3-month percent change, current dollars",2012,June,0.4
Current dollar index number,2012,March,114.8
"3-month percent change, current dollars",2012,March,0.3
Current dollar index number,2012,December,115.4
"3-month percent change, current dollars",2012,December,0.3
Current dollar index number,2012,September,115.0
"3-month percent change, current dollars",2012,September,0.4
Current dollar index number,2012,June,114.5
"3-month percent change, current dollars",2012,June,0.4
Current dollar index number,2012,March,114.1
"3-month percent change, current dollars",2012,March,0.1
Current dollar index number,2013,December,118.5
"3-month percent change, current dollars",2013,December,0.3
Current dollar index number,2013,September,118.1
"3-month percent change, current dollars",2013,September,0.4
Current dollar index number,2013,June,117.6
"3-month percent change, current dollars",2013,June,0.3
Current dollar index number,2013,March,117.2
"3-month percent change, current dollars",2013,March,0.8
Current dollar index number,2013,December,117.3
"3-month percent change, current dollars",2013,December,0.2
Current dollar index number,2013,September,117.1
"3-month percent change, current dollars",2013,September,0.5
Current dollar index number,2013,June,116.5
"3-month percent change, current dollars",2013,June,0.4
Current dollar index number,2013,March,116.0
"3-month percent change, current dollars",2013,March,0.5
Current dollar index number,2014,December,120.6
"3-month percent change, current dollars",2014,December,0.6
Current dollar index number,2014,September,119.9
"3-month percent change, current dollars",2014,September,0.7
Current dollar index number,2014,June,119.1
"3-month percent change, current dollars",2014,June,0.3
Current dollar index number,2014,March,118.8
"3-month percent change, current dollars",2014,March,0.3
Current dollar index number,2014,December,119.5
"3-month percent change, current dollars",2014,December,0.6
Current dollar index number,2014,September,118.8
"3-month percent change, current dollars",2014,September,0.8
Current dollar index number,2014,June,117.9
"3-month percent change, current dollars",2014,June,0.3
Current dollar index number,2014,March,117.5
"3-month percent change, current dollars",2014,March,0.2
Current dollar index number,2015,December,123.4
"3-month percent change, current dollars",2015,December,0.8
Current dollar index number,2015,September,122.4
"3-month percent change, current dollars",2015,September,0.6
Current dollar index number,2015,June,121.7
"3-month percent change, current dollars",2015,June,0.7
Current dollar index number,2015,March,120.9
"3-month percent change, current dollars",2015,March,0.2
Current dollar index number,2015,December,122.7
"3-month percent change, current dollars",2015,December,1.0
Current dollar index number,2015,September,121.5
"3-month percent change, current dollars",2015,September,0.7
Current dollar index number,2015,June,120.7
"3-month percent change, current dollars",2015,June,0.7
Current dollar index number,2015,March,119.9
"3-month percent change, current dollars",2015,March,0.3
Current dollar index number,2016,December,125.8
"3-month percent change, current dollars",2016,December,0.9
Current dollar index number,2016,September,124.7
"3-month percent change, current dollars",2016,September,0.1
Current dollar index number,2016,June,124.6
"3-month percent change, current dollars",2016,June,0.6
Current dollar index number,2016,March,123.8
"3-month percent change, current dollars",2016,March,0.3
Current dollar index number,2016,December,125.3
"3-month percent change, current dollars",2016,December,1.1
Current dollar index number,2016,September,123.9
"3-month percent change, current dollars",2016,September,-0.1
Current dollar index number,2016,June,124.0
"3-month percent change, current dollars",2016,June,0.8
Current dollar index number,2016,March,123.0
"3-month percent change, current dollars",2016,March,0.2
Current dollar index number,2017,December,128.9
"3-month percent change, current dollars",2017,December,0.6
Current dollar index number,2017,September,128.1
"3-month percent change, current dollars",2017,September,0.7
Current dollar index number,2017,June,127.2
"3-month percent change, current dollars",2017,June,0.3
Current dollar index number,2017,March,126.8
"3-month percent change, current dollars",2017,March,0.8
Current dollar index number,2017,December,128.4
"3-month percent change, current dollars",2017,December,0.5
Current dollar index number,2017,September,127.7
"3-month percent change, current dollars",2017,September,0.7
Current dollar index number,2017,June,126.8
"3-month percent change, current dollars",2017,June,0.4
Current dollar index number,2017,March,126.3
"3-month percent change, current dollars",2017,March,0.8
Current dollar index number,2018,December,132.5
"3-month percent change, current dollars",2018,December,0.7
Current dollar index number,2018,September,131.6
"3-month percent change, current dollars",2018,September,0.5
Current dollar index number,2018,June,131.0
"3-month percent change, current dollars",2018,June,0.8
Current dollar index number,2018,March,129.9
"3-month percent change, current dollars",2018,March,0.8
Current dollar index number,2018,December,132.5
"3-month percent change, current dollars",2018,December,0.8
Current dollar index number,2018,September,131.5
"3-month percent change, current dollars",2018,September,0.5
Current dollar index number,2018,June,130.8
"3-month percent change, current dollars",2018,June,0.8
Current dollar index number,2018,March,129.8
"3-month percent change, current dollars",2018,March,1.1
Current dollar index number,2019,December,137.1
"3-month percent change, current dollars",2019,December,0.7
Current dollar index number,2019,September,136.2
"3-month percent change, current dollars",2019,September,1.3
Current dollar index number,2019,June,134.5
"3-month percent change, current dollars",2019,June,0.7
Current dollar index number,2019,March,133.6
"3-month percent change, current dollars",2019,March,0.8
Current dollar index number,2019,December,137.5
"3-month percent change, current dollars",2019,December,0.7
Current dollar index number,2019,September,136.5
"3-month percent change, current dollars",2019,September,1.5
Current dollar index number,2019,June,134.5
"3-month percent change, current dollars",2019,June,0.7
Current dollar index number,2019,March,133.6
"3-month percent change, current dollars",2019,March,0.8
Current dollar index number,2020,December,140.4
"3-month percent change, current dollars",2020,December,0.6
Current dollar index number,2020,September,139.6
"3-month percent change, current dollars",2020,September,0.6
Current dollar index number,2020,June,138.7
"3-month percent change, current dollars",2020,June,0.7
Current dollar index number,2020,March,137.8
"3-month percent change, current dollars",2020,March,0.5
Current dollar index number,2020,December,141.3
"3-month percent change, current dollars",2020,December,0.6
Current dollar index number,2020,September,140.4
"3-month percent change, current dollars",2020,September,0.6
Current dollar index number,2020,June,139.5
"3-month percent change, current dollars",2020,June,0.9
Current dollar index number,2020,March,138.3
"3-month percent change, current dollars",2020,March,0.6
Current dollar index number,2021,December,145.3
"3-month percent change, current dollars",2021,December,1.0
Current dollar index number,2021,September,143.8
"3-month percent change, current dollars",2021,September,0.6
Current dollar index number,2021,June,142.9
"3-month percent change, current dollars",2021,June,1.0
